#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"X / mm"	"e-field (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Re]"	"e-field (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Im]"
#--------------------------------------------------------------------------------------------------------------------------------------------
-25.001553899214	40.103332519531	83.017730712891
-24.967305195243	42.750789642334	81.578704833984
-24.933056491271	45.398258209229	80.139205932617
-24.898807787300	47.782680511475	77.917800903320
-24.864559083328	50.166912078857	75.695457458496
-24.830310379357	52.358963012695	72.538558959961
-24.796061675385	54.551010131836	69.381652832031
-24.761812971414	56.685798645020	65.558219909668
-24.727564267442	58.783840179443	61.309616088867
-24.693315563471	60.882564544678	56.812557220459
-24.659066859499	62.983718872070	51.433097839355
-24.624818155528	65.084869384766	46.053634643555
-24.590569451556	67.247253417969	39.732719421387
-24.556320747585	69.422111511230	33.218082427979
-24.522072043613	71.645889282227	26.219280242920
-24.487823339642	73.932327270508	18.600261688232
-24.453574635670	76.224227905273	10.930833816528
-24.419325931699	78.624961853027	2.2556495666504
-24.385077227727	81.025825500488	-6.4200177192688
-24.350828523755	83.468353271484	-15.652292251587
-24.316579819784	85.941688537598	-25.295173645020
-24.282331115812	88.413276672363	-35.023769378662
-24.248082411841	90.869812011719	-45.493644714355
-24.213833707869	93.326484680176	-55.964099884033
-24.179585003898	95.689414978027	-66.848838806152
-24.145336299926	97.997749328613	-77.975570678711
-24.111087595955	100.25540161133	-89.175781250000
-24.076838891983	102.24597167969	-100.76320648193
-24.042590188012	104.23654937744	-112.35062408447
-24.008341484040	105.87286376953	-124.10594940186
-23.974092780069	107.34796905518	-135.93667602539
-23.939844076097	108.66569519043	-147.76994323730
-23.905595372126	109.41005706787	-159.61253356934
-23.871346668154	110.15441131592	-171.45510864258
-23.837097964183	110.19231414795	-183.12690734863
-23.802849260211	109.98628234863	-194.73884582520
-23.768600556240	109.46468353271	-206.22134399414
-23.734351852268	108.09539794922	-217.35610961914
-23.700103148296	106.72611236572	-228.49089050293
-23.665854444325	104.29888916016	-239.06036376953
-23.631605740353	101.57669067383	-249.47137451172
-23.597357036382	98.416641235352	-259.60165405273
-23.563108332410	94.197738647461	-269.05297851562
-23.528859628439	89.978843688965	-278.50430297852
-23.494610924467	84.486282348633	-287.00869750977
-23.460362220496	78.681190490723	-295.28143310547
-23.426113516524	72.372009277344	-303.12265014648
-23.391864812553	64.959648132324	-310.02108764648
-23.357616108581	57.547283172607	-316.91949462891
-23.323367404610	48.852375030518	-322.54794311523
-23.289118700638	39.883781433105	-327.90618896484
-23.254869996667	30.438079833984	-332.70465087891
-23.220621292695	20.044452667236	-336.39273071289
-23.186372588724	9.6508293151855	-340.08078002930
-23.152123884752	-1.7730789184570	-342.28219604492
-23.117875180781	-13.384995460510	-344.21234130859
-23.083626476809	-25.331974029541	-345.50122070312
-23.049377772837	-37.882431030273	-345.63146972656
-23.015129068866	-50.432888031006	-345.76168823242
-22.980880364894	-63.502372741699	-344.33932495117
-22.946631660923	-76.651550292969	-342.67858886719
-22.912382956951	-89.881103515625	-340.36431884766
-22.878134252980	-103.24121093750	-336.97296142578
-22.843885549008	-116.60131835938	-333.58163452148
-22.809636845037	-129.78103637695	-328.75762939453
-22.775388141065	-142.93804931641	-323.75323486328
-22.741139437094	-155.83990478516	-318.15502929688
-22.706890733122	-168.37579345703	-311.70315551758
-22.672642029151	-180.91098022461	-305.25164794922
-22.638393325179	-192.49079895020	-297.64535522461
-22.604144621208	-204.00148010254	-289.95544433594
-22.569895917236	-214.87997436523	-281.81585693359
-22.535647213265	-225.00077819824	-273.13641357422
-22.501398509293	-235.12101745605	-264.45742797852
-22.467149805322	-243.58375549316	-255.08718872070
-22.432901101350	-252.00727844238	-245.70059204102
-22.398652397378	-259.46972656250	-236.11180114746
-22.364403693407	-265.96762084961	-226.31945800781
-22.330154989435	-272.42135620117	-216.52572631836
-22.295906285464	-276.85574340820	-206.64196777344
-22.261657581492	-281.29016113281	-196.75822448730
-22.227408877521	-284.58517456055	-186.99235534668
-22.193160173549	-286.92254638672	-177.32553100586
-22.158911469578	-289.12722778320	-167.69160461426
-22.124662765606	-289.43856811523	-158.53454589844
-22.090414061635	-289.74990844727	-149.37748718262
-22.056165357663	-288.97479248047	-140.67456054688
