#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"X / mm"	"e-field (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Re]"	"e-field (f=90) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (X) [Im]"
#------------------------------------------------------------------------------------------------------------------------------------------
-25.001553899214	7.3945803642273	-11.405741691589
-24.967305195243	6.1604852676392	-12.828785896301
-24.933056491271	4.9262924194336	-14.251934051514
-24.898807787300	3.6338603496552	-15.722282409668
-24.864559083328	2.3413660526276	-17.192680358887
-24.830310379357	0.98662889003754	-18.713001251221
-24.796061675385	-0.36810827255249	-20.233322143555
-24.761812971414	-1.7629241943359	-21.784595489502
-24.727564267442	-3.1831996440887	-23.355489730835
-24.693315563471	-4.6173791885376	-24.936204910278
-24.659066859499	-6.1009416580200	-26.551799774170
-24.624818155528	-7.5845041275024	-28.167394638062
-24.590569451556	-9.1185550689697	-29.813293457031
-24.556320747585	-10.662914276123	-31.465328216553
-24.522072043613	-12.232527732849	-33.128890991211
-24.487823339642	-13.834491729736	-34.807220458984
-24.453574635670	-15.439099311829	-36.486217498779
-24.419325931699	-17.096462249756	-38.178535461426
-24.385077227727	-18.753917694092	-39.870948791504
-24.350828523755	-20.441486358643	-41.562564849854
-24.316579819784	-22.151319503784	-43.253654479980
-24.282331115812	-23.866081237793	-44.942745208740
-24.248082411841	-25.623470306396	-46.614521026611
-24.213833707869	-27.380954742432	-48.286388397217
-24.179585003898	-29.165367126465	-49.933712005615
-24.145336299926	-30.965541839600	-51.566776275635
-24.111087595955	-32.771591186523	-53.190315246582
-24.076838891983	-34.608596801758	-54.763675689697
-24.042590188012	-36.445598602295	-56.337039947510
-24.008341484040	-38.303611755371	-57.853836059570
-23.974092780069	-40.171031951904	-59.344791412354
-23.939844076097	-42.043506622314	-60.813079833984
-23.905595372126	-43.934402465820	-62.198780059814
-23.871346668154	-45.825298309326	-63.584480285645
-23.837097964183	-47.727874755859	-64.874389648438
-23.802849260211	-49.634346008301	-66.131118774414
-23.768600556240	-51.542625427246	-67.346405029297
-23.734351852268	-53.455764770508	-68.450370788574
-23.700103148296	-55.368907928467	-69.554336547852
-23.665854444325	-57.280025482178	-70.520713806152
-23.631605740353	-59.190441131592	-71.448646545410
-23.597357036382	-61.097038269043	-72.318771362305
-23.563108332410	-62.994392395020	-73.049125671387
