#Parameters = {BeamSourceOriginX=0; BeamSourceOriginY=0; BeamSourceOriginZ=115.79674639889; D=50.003107798429; PML_offset=0; R=61.548; alpha=90; angle_20dB=11.769; beam_f=-234.79674639889; beam_w=1.94; f=120; n=1.5129; phi=0; source_dist=115.79674639889; th=5.3067463988873; th2=8; theta=0}
#"Y / mm"	"e-field (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (Y) [Re]"	"e-field (f=150) (fsGBMacro_3331027.311nm(1,0),(0.0))_Y (Y) [Im]"
#--------------------------------------------------------------------------------------------------------------------------------------------
-25.001553899214	29.414836883545	-67.658203125000
-24.967305195243	29.675020217896	-68.520523071289
-24.933056491271	29.935363769531	-69.383392333984
-24.898807787300	30.485586166382	-71.245689392090
-24.864559083328	31.035865783691	-73.108276367188
-24.830310379357	31.641033172607	-75.264060974121
-24.796061675385	32.246200561523	-77.419845581055
-24.761812971414	32.873512268066	-79.760330200195
-24.727564267442	33.514900207520	-82.218521118164
-24.693315563471	34.157508850098	-84.738853454590
-24.659066859499	34.804424285889	-87.479881286621
-24.624818155528	35.451343536377	-90.220916748047
-24.590569451556	36.073341369629	-93.179321289062
-24.556320747585	36.690151214600	-96.182350158691
-24.522072043613	37.276161193848	-99.290390014648
-24.487823339642	37.822708129883	-102.53294372559
-24.453574635670	38.363666534424	-105.78589630127
-24.419325931699	38.793121337891	-109.24630737305
-24.385077227727	39.222602844238	-112.70691680908
-24.350828523755	39.555107116699	-116.27767944336
-24.316579819784	39.816150665283	-119.92976379395
-24.282331115812	40.054340362549	-123.59812164307
-24.248082411841	40.094871520996	-127.40718078613
-24.213833707869	40.135406494141	-131.21646118164
-24.179585003898	40.003540039062	-135.10011291504
-24.145336299926	39.771114349365	-139.02726745605
-24.111087595955	39.487056732178	-142.96626281738
-24.076838891983	38.930912017822	-146.96769714355
-24.042590188012	38.374763488770	-150.96913146973
-24.008341484040	37.563343048096	-154.98852539062
-23.974092780069	36.635910034180	-159.01577758789
-23.939844076097	35.619354248047	-163.03723144531
-23.905595372126	34.278087615967	-167.03765869141
-23.871346668154	32.936817169189	-171.03807067871
-23.837097964183	31.261964797974	-174.97692871094
-23.802849260211	29.472053527832	-178.89422607422
-23.768600556240	27.553035736084	-182.77290344238
-23.734351852268	25.287206649780	-186.54782104492
-23.700103148296	23.021377563477	-190.32275390625
-23.665854444325	20.370161056519	-193.93916320801
-23.631605740353	17.611614227295	-197.51109313965
-23.597357036382	14.708175659180	-201.00608825684
-23.563108332410	11.454353332520	-204.31503295898
-23.528859628439	8.2005319595337	-207.62397766113
-23.494610924467	4.5576882362366	-210.67568969727
-23.460362220496	0.81927657127380	-213.66450500488
-23.426113516524	-3.0632467269897	-216.53620910645
-23.391864812553	-7.2614088058472	-219.15214538574
-23.357616108581	-11.459570884705	-221.76806640625
-23.323367404610	-16.005161285400	-224.03840637207
-23.289118700638	-20.625011444092	-226.23526000977
-23.254869996667	-25.368785858154	-228.27888488770
-23.220621292695	-30.359027862549	-230.01866149902
-23.186372588724	-35.349266052246	-231.75843811035
-23.152123884752	-40.600215911865	-233.08833312988
-23.117875180781	-45.898742675781	-234.34342956543
-23.083626476809	-51.282035827637	-235.42008972168
-23.049377772837	-56.817642211914	-236.17414855957
-23.015129068866	-62.353244781494	-236.92820739746
-22.980880364894	-68.027427673340	-237.24424743652
-22.946631660923	-73.722892761230	-237.49301147461
-22.912382956951	-79.448463439941	-237.55406188965
-22.878134252980	-85.222808837891	-237.30560302734
-22.843885549008	-90.997161865234	-237.05714416504
-22.809636845037	-96.770111083984	-236.38601684570
-22.775388141065	-102.54288482666	-235.66168212891
-22.741139437094	-108.28337860107	-234.75523376465
-22.706890733122	-113.97780609131	-233.58705139160
-22.672642029151	-119.67191314697	-232.41891479492
-22.638393325179	-125.22759246826	-230.87458801270
-22.604144621208	-130.77323913574	-229.30300903320
-22.569895917236	-136.22386169434	-227.56974792480
-22.535647213265	-141.56077575684	-225.64245605469
-22.501398509293	-146.89739990234	-223.71525573730
-22.467149805322	-151.98187255859	-221.49203491211
-22.432901101350	-157.06037902832	-219.26181030273
-22.398652397378	-161.99256896973	-216.90757751465
-22.364403693407	-166.77810668945	-214.42869567871
-22.330154989435	-171.55671691895	-211.94584655762
-22.295906285464	-176.02751159668	-209.27255249023
-22.261657581492	-180.49832153320	-206.59925842285
-22.227408877521	-184.79467773438	-203.84762573242
-22.193160173549	-188.94442749023	-201.03015136719
-22.158911469578	-193.07379150391	-198.20594787598
-22.124662765606	-196.90910339355	-195.28851318359
-22.090414061635	-200.74441528320	-192.37109375000
-22.056165357663	-204.40573120117	-189.41612243652
-22.021916653692	-207.94496154785	-186.43482971191
-21.987667949720	-211.45494079590	-183.44921875000
-21.953419245749	-214.72607421875	-180.43016052246
-21.919170541777	-217.99720764160	-177.41110229492
-21.884921837806	-221.12026977539	-174.37797546387
-21.850673133834	-224.15715026855	-171.33665466309
-21.816424429863	-227.16352844238	-168.29267883301
